"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","result_detection_condition_text","method_specification_name","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","measure_qualifier_code","result_status_identifier","result_value_type_name","result_weight_basis_text","result_comment_text","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","laboratory_name","analysis_start_date","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl","m_a","b_a","m_c","b_c","fw_acute_convert","fw_chronic_convert","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_07/18/2000_11:34:00","2000-07-18","11:34:00","AKDT","KENAI_WQX-10000024","STORET-56950284",NA,NA,"Specific conductance",NA,62,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_07%2F18%2F2000_11%3A34%3A00/results/56950284/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream",NA,NA,60.489963,-150.860982,NA,"Unknown","NAD83","US",2,122,"Funny River","Funny River",200,"Summer",35.35416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/18/2000_10:00:00","2000-07-18","10:00:00","AKDT","KENAI_WQX-10000026","STORET-56950307",NA,NA,"Specific conductance",NA,135,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F18%2F2000_10%3A00%3A00/results/56950307/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream",NA,NA,60.53687,-150.754724,NA,"Unknown","NAD83","US",2,122,"Moose River","Moose River",200,"Summer",77.2406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000016_07/18/2000_12:00:00","2000-07-18","12:00:00","AKDT","KENAI_WQX-10000016","STORET-56949962",NA,NA,"Specific conductance",NA,50,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000016_07%2F18%2F2000_12%3A00%3A00/results/56949962/resdetectqntlmts","STORET","KBL","m",10.1,"KBL_m_10.1","River/Stream",NA,NA,60.539279,-151.142263,NA,"Unknown","NAD83","US",2,122,NA,"10.1",200,"Summer",30.16229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/18/2000_10:35:00","2000-07-18","10:35:00","AKDT","KENAI_WQX-10000032","STORET-56950353",NA,NA,"Specific conductance",NA,70,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F18%2F2000_10%3A35%3A00/results/56950353/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream",NA,NA,60.484622,-149.993955,NA,"Unknown","NAD83","US",2,122,"Russian River","Russian River",200,"Summer",39.4142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000029_07/18/2000_07:17:00","2000-07-18","07:17:00","AKDT","KENAI_WQX-10000029","STORET-56950330",NA,NA,"Specific conductance",NA,20,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000029_07%2F18%2F2000_07%3A17%3A00/results/56950330/resdetectqntlmts","STORET","KBL","t",44,"KBL_t_44.0","River/Stream",NA,NA,60.481518,-150.632498,NA,"Unknown","NAD83","US",2,122,"Killey River","Killey River",200,"Summer",20.98445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_07/18/2000_09:30:00","2000-07-18","09:30:00","AKDT","KENAI_WQX-10000021","STORET-56950031",NA,NA,"Specific conductance",NA,50,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_07%2F18%2F2000_09%3A30%3A00/results/56950031/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream",NA,NA,60.476634,-151.082099,NA,"Unknown","NAD83","US",2,122,NA,"21",200,"Summer",29.45075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/18/2000_09:06:00","2000-07-18","09:06:00","AKDT","KENAI_WQX-10000025","STORET-56950077",NA,NA,"Specific conductance",NA,52,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F18%2F2000_09%3A06%3A00/results/56950077/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream",NA,NA,60.498284,-150.863121,NA,"Unknown","NAD83","US",2,122,NA,"31",200,"Summer",30.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_07/18/2000_07:50:00","2000-07-18","07:50:00","AKDT","KENAI_WQX-10000027","STORET-56950100",NA,NA,"Specific conductance",NA,40,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_07%2F18%2F2000_07%3A50%3A00/results/56950100/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream",NA,NA,60.515441,-150.702069,NA,"Unknown","NAD83","US",2,122,NA,"40",200,"Summer",29.20126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_07/18/2000_09:00:00","2000-07-18","09:00:00","AKDT","KENAI_WQX-10000023","STORET-56950054",NA,NA,"Specific conductance",NA,40,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_07%2F18%2F2000_09%3A00%3A00/results/56950054/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream",NA,NA,60.480338,-151.030847,NA,"Unknown","NAD83","US",2,122,NA,"23",200,"Summer",29.26358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000018_07/18/2000_13:10:00","2000-07-18","13:10:00","AKDT","KENAI_WQX-10000018","STORET-56950008",NA,NA,"Specific conductance",NA,50,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000018_07%2F18%2F2000_13%3A10%3A00/results/56950008/resdetectqntlmts","STORET","KBL","m",18,"KBL_m_18.0","River/Stream",NA,NA,60.502005,-151.106973,NA,"Unknown","NAD83","US",2,122,NA,"18",200,"Summer",29.72542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000017_07/18/2000_12:25:00","2000-07-18","12:25:00","AKDT","KENAI_WQX-10000017","STORET-56949985",NA,NA,"Specific conductance",NA,50,"uS/cm",NA,"Final","Actual",NA,NA,"8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000017_07%2F18%2F2000_12%3A25%3A00/results/56949985/resdetectqntlmts","STORET","KBL","m",12.5,"KBL_m_12.5","River/Stream",NA,NA,60.533743,-151.099258,NA,"Unknown","NAD83","US",2,122,NA,"12.5",200,"Summer",29.52566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
