"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","result_detection_condition_text","method_specification_name","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","measure_qualifier_code","result_status_identifier","result_value_type_name","result_weight_basis_text","result_comment_text","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","laboratory_name","analysis_start_date","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl","m_a","b_a","m_c","b_c","fw_acute_convert","fw_chronic_convert","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/18/2000_10:35:00","2000-07-18","10:35:00","AKDT","KENAI_WQX-10000032","STORET-56950340",NA,NA,"Calcium","Total Recoverable",14.3,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F18%2F2000_10%3A35%3A00/results/56950340/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream",NA,NA,60.484622,-149.993955,NA,"Unknown","NAD83","US",2,122,"Russian River","Russian River",200,"Summer",39.4142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000017_07/18/2000_12:25:00","2000-07-18","12:25:00","AKDT","KENAI_WQX-10000017","STORET-56949972",NA,NA,"Calcium","Total Recoverable",9.68,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000017_07%2F18%2F2000_12%3A25%3A00/results/56949972/resdetectqntlmts","STORET","KBL","m",12.5,"KBL_m_12.5","River/Stream",NA,NA,60.533743,-151.099258,NA,"Unknown","NAD83","US",2,122,NA,"12.5",200,"Summer",29.52566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000425_07/18/2000_09:10:00","2000-07-18","09:10:00","AKDT","KENAI_WQX-10000425","STORET-56950179",NA,NA,"Calcium","Total Recoverable",12.1,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000425_07%2F18%2F2000_09%3A10%3A00/results/56950179/resdetectqntlmts","STORET","KBL","m",82,"KBL_m_82.0","River/Stream",NA,NA,60.492,-149.81087,NA,"Unknown","NAD83","US",2,122,NA,"82",200,"Summer",33.9208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_07/18/2000_09:16:00","2000-07-18","09:16:00","AKDT","KENAI_WQX-10000022","STORET-56950248",NA,NA,"Calcium","Total Recoverable",19.2,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_07%2F18%2F2000_09%3A16%3A00/results/56950248/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream",NA,NA,60.483364,-151.057656,NA,"Unknown","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",200,"Summer",68.9493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/18/2000_10:00:00","2000-07-18","10:00:00","AKDT","KENAI_WQX-10000026","STORET-56950294",NA,NA,"Calcium","Total Recoverable",24.5,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F18%2F2000_10%3A00%3A00/results/56950294/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream",NA,NA,60.53687,-150.754724,NA,"Unknown","NAD83","US",2,122,"Moose River","Moose River",200,"Summer",77.2406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_07/18/2000_11:40:00","2000-07-18","11:40:00","AKDT","KENAI_WQX-10000031","STORET-56950156",NA,NA,"Calcium","Total Recoverable",17,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_07%2F18%2F2000_11%3A40%3A00/results/56950156/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream",NA,NA,60.481392,-150.11502,NA,"Unknown","NAD83","US",2,122,NA,"70",200,"Summer",47.8037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000008_07/18/2000_12:59:00","2000-07-18","12:59:00","AKDT","KENAI_WQX-10000008","STORET-56950202",NA,NA,"Calcium","Total Recoverable",12.8,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000008_07%2F18%2F2000_12%3A59%3A00/results/56950202/resdetectqntlmts","STORET","KBL","t",0,"KBL_t_00.0","River/Stream",NA,NA,60.550888,-151.268417,NA,"Unknown","NAD83","US",2,122,"No Name Creek","No Name Creek",200,"Summer",49.6733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000002_07/18/2000_10:48:00","2000-07-18","10:48:00","AKDT","KENAI_WQX-10000002","STORET-56949903",NA,NA,"Calcium","Total Recoverable",11.3,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000002_07%2F18%2F2000_10%3A48%3A00/results/56949903/resdetectqntlmts","STORET","KBL","m",1.5,"KBL_m_01.5","River/Stream",NA,NA,60.54368,-151.22294,NA,"Unknown","NAD83","US",2,122,NA,"1.5",200,"Summer",50.4587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000029_07/18/2000_07:17:00","2000-07-18","07:17:00","AKDT","KENAI_WQX-10000029","STORET-56950317",NA,NA,"Calcium","Total Recoverable",3.95,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000029_07%2F18%2F2000_07%3A17%3A00/results/56950317/resdetectqntlmts","STORET","KBL","t",44,"KBL_t_44.0","River/Stream",NA,NA,60.481518,-150.632498,NA,"Unknown","NAD83","US",2,122,"Killey River","Killey River",200,"Summer",20.98445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/18/2000_09:06:00","2000-07-18","09:06:00","AKDT","KENAI_WQX-10000025","STORET-56950064",NA,NA,"Calcium","Total Recoverable",9.9,"mg/L",NA,"Final","Actual",NA,NA,"200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F18%2F2000_09%3A06%3A00/results/56950064/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream",NA,NA,60.498284,-150.863121,NA,"Unknown","NAD83","US",2,122,NA,"31",200,"Summer",30.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
